id,authors,title,abstract,tag
21,"Callum McLean, Luke Yuri Prince, Alexandre Payot, Paul Balanca, Carlo Luschi",MXNorm: Reusing block scales for efficient tensor normalisation,"The matrix multiplications which comprise the bulk of computation in deep learning are being performed in increasingly narrow-precision formats. For example, next generation AI accelerators support dot products in MXFP4, a format requiring only 4.25 bits per element. However, accelerator performance for low-precision matrix multiplication far outstrips their performance on reductions and elementwise computations that are still being performed in higher precision. In this work, we reduce the cost of normalisation tensors by approximating the RMSNorm of an MXFP tensor using only the MX block scales, thereby enabling a 32x decrease in the size of reductions needed for normalisation. We validate our approximation on pre-training of Llama-3 models of 250M and 1B parameters, finding minimal loss of training accuracy compared to a baseline using RMSNorm with MXFP8 matmuls.",21
22,"Yuran Ding, Xinwei Chen, Xiaofan Zhang, Zongwei Zhou",ASAP: an Agentic Solution to Auto-optimize Performance of Large-Scale LLM Training,"Optimizing large-language model (LLM) training on distributed domain-specific accelerator systems presents significant challenges due to its complex optimization space. Existing optimization methods, however, rely on time-consuming manual tuning or resource-intensive black-box searches, which struggle to keep pace with the rapidly evolving LLM domain, leading to slow development and underutilized resources. To address this, we introduce $\textbf{ASAP}$, an $\textbf{A}$gentic $\textbf{S}$olution to $\textbf{A}$uto-optimize $\textbf{P}$erformance of Large-Scale LLM Training. It is a multi-agent system, featuring Coordinator, Analyzer, and Proposal agents, which integrates LLM reasoning with insights from performance profiling tools, roofline analysis, and a knowledge base of best practices and successful past optimizations from human experts. Our proposed design can automate the diagnosis of performance bottlenecks and recommend optimized sharding configurations with reasoning, thus effectively improving the efficiency of distributed LLM training. Experiments have shown that the ASAP-generated sharding configurations can contribute up to 28\% training step time reduction and 1.43$\times$ throughput improvement. When combined with additional optimization from human experts, throughput can be further increased to 2.58$\times$. The proposed ASAP promises to provide a scalable and explainable methodology for AI-assisted performance engineering in large-scale LLM training.",22
23,"Arya Tschand, Kesavan Ramakrishnan, Muhammad A. Awad, Ryan Swann, Jeffrey Jian Ma, Keith Lowery, Vijay Janapa Reddi",SwizzlePerf: Hardware-Aware LLMs for GPU Kernel Performance Optimization,"Large language models (LLMs) have shown progress in GPU kernel performance engineering using inefficient search-based methods that optimize around runtime. Any existing approach lacks a key characteristic that human performance engineers rely on for near-optimal utilization - hardware-awareness. By leveraging the workload's specific memory access patterns, architecture specifications, filtered profiling logs, and reflections on historical performance, we can make software-level optimizations that are tailored to the underlying hardware. SwizzlePerf automatically generates spatial optimizations for GPU kernels on disaggregated architectures by giving LLMs explicit hardware-awareness. 

For a GEMM kernel, SwizzlePerf takes less than 5 minutes to generate the same hardware-specific optimal swizzling pattern that took expert performance engineers 2 weeks to find. On a suite of 10 diverse ML and Science kernels, SwizzlePerf can generate swizzling patterns for 9 of the kernels that achieve up to a 2.06x speedup and 70% improvement in L2 hit rate. This work is the first of many steps toward systematically creating hardware-aware LLM performance engineering agents.",23
24,"Kshitij Bhardwaj, Torrey Wagner, Edgar A. Leon",Leveraging Large Language Models to Enhance Machine-Learning-Driven HPC Job Scheduling,"High-performance computing (HPC) systems rely on job schedulers like Slurm to
allocate compute resources to submitted workloads. Recently, machine learning
models have been used to predict job runtimes which can be used by schedulers
to optimize utilization. However, many of these models struggle to effectively
encode string-type job features, typically relying on integer-based Label or One-hot
encoding methods. In this paper, we use Transformer-based large language models,
particularly Sentence-BERT (SBERT), to semantically encode job features for
regression-based job runtime prediction. Using a 90,000-record 169-feature Slurm
dataset we evaluate four SBERT variants and compare them against traditional
encodings using four regression models. Our results show that SBERT-based
encodings—especially using the all-MiniLM-L6-v2 model—substantially outperform
conventional methods, achieving an r2 score up to 0.88; 2.3× higher than
traditionally-used Label encoding. Moreover, we highlight practical trade-offs,
such as model memory size versus accuracy, to guide the selection of efficient
encoders for production HPC systems.",24
25,"Derek Lilienthal, Sanghyun Hong",Mind the Gap: Time-of-Check to Time-of-Use Vulnerabilities in LLM-Enabled Agents,"Large Language Model (LLM)-enabled agents are rapidly emerging across a wide range of applications, but their deployment introduces vulnerabilities with security implications. While prior work has examined prompt-based attacks (e.g., prompt injection) and data-oriented threats (e.g., data exfiltration), time-of-check to time-of-use (TOCTOU) remain largely unexplored in this context. TOCTOU arises when an agent validates external state (e.g., a file or API response) that is later modified before use, enabling practical attacks such as malicious configuration swaps or payload injection. In this work, we present the first study of TOCTOU vulnerabilities in LLM-enabled agents. We introduce TOCTOU-Bench, a benchmark with 66 realistic user tasks designed to evaluate this class of vulnerabilities. As countermeasures, we adapt detection and mitigation techniques from systems security to this setting and propose prompt rewriting, state integrity monitoring, and tool-fusing. Our study highlights challenges unique to agentic workflows, where we achieve up to 25% detection accuracy using automated detection methods, a 3% decrease in vulnerable plan generation, and a 95% reduction in the attack window. When combining all three approaches, we reduce the TOCTOU vulnerabilities from an executed trajectory from 12% to 8%. Our findings open a new research direction at the intersection of AI safety and systems security.",25
26,"Adi Szeskin, Itay Lieder, Divyasree Tummalapalli, Amitai Armon",Retrieval on Verilog Repositories: A Knowledge-Graph Based Solution,"We present a retrieval system for answering questions about Verilog / System Ver-
ilog code bases. Standard vector RAG (retrieval augmented generation) often fails
on hardware description languages due to identifier renaming, coding-style vari-
ation, hierarchy, and concurrency. We instead construct knowledge graphs over
the code and its LLM-generated explanations and retrieve based on the entities
and relations. We achieve this by adapting the GraphRAG package, originally
intended for natural language, to our specific code use-case. We compare (i)
standard semantic retrieval on the explanations, (ii) GraphRAG over code and
(iii) GraphRAG over the explanations. On a corpus of ∼3.5K files and a bench-
mark of 29 questions, using top-1 file-level recall, the first baseline reaches 31%.
GraphRAG consistently outperforms it, achieving 55–59% when utilizing the ex-
planations, and up to 79% when considering retrieved equivalent files. Construct-
ing the graph with GPT-4o-mini worked well without requiring the larger GPT-
4o, but GPT-4o was required for answering the queries better. Our results indicate
that the suggested graph-based approach could be useful for answering questions
of hardware designers on the code base.",26
29,"Avisek Naug, Sahand Ghorbanpour, Ashwin Ramesh Babu, Antonio Guillen-Perez, Vineet Gundecha, Ricardo Luna Gutierrez, Soumyendu Sarkar",Carbon-Aware RL-LLM Control for Energy-Efficient Liquid-Cooled HPC Data Centers,"The rapid growth of large language models (LLMs) in high-performance computing (HPC) data centers necessitates a shift from purely energy-efficient to carbon-aware control for liquid cooling systems. We introduce a novel multi-agent framework that leverages LLM-powered agents to achieve autonomous, carbon-aware thermal management. Our architecture features eight specialized agents coordinated via a hybrid Redis and Model Control Protocol (MCP) backbone for real-time operation. We validate our approach on a high-fidelity digital twin of the Frontier supercomputer's cooling system, focusing on a core contribution: a hybrid Reinforcement Learning (RL) and LLM control strategy. Experimental results show that our `RL $\rightarrow$ LLM` hybrid model significantly outperforms traditional baselines and other LLM configurations, achieving the lowest average blade temperatures (28.29°C) and the lowest carbon emissions (11.1 kg/hr), while maintaining operational stability. This work presents a practical blueprint for deploying agentic AI to create sustainable, efficient, and explainable control systems for complex cyber-physical infrastructure.",29
32,"YUSHENG ZHENG, YanPeng Hu, Wei Zhang, Andi Quinn",Towards Agentic OS: An LLM Agent Framework for Linux Schedulers,"Operating system schedulers suffer from a fundamental semantic gap, where kernel
policies fail to understand application-specific needs, leading to suboptimal perfor-
mance. We introduce SchedCP, the first framework that enables fully autonomous
Large Language Model (LLM) agents to safely and efficiently optimize Linux
schedulers without human involvement. Our core insight is that the challenge is
not merely to apply a better LLM, but to architect a decoupled control plane that
separates the AI’s role of semantic reasoning (""what to optimize"") from the sys-
tem’s role of execution (""how to observe and act""). Implemented as Model Context
Protocol(MCP) server, SchedCP provides a stable interface with three key services:
a Workload Analysis Engine, an evolving Scheduler Policy Repository, and an
Execution Verifier that validates all AI-generated code and configure before deploy-
ment with static and dynamic analysis. We demonstrate this architecture’s power
with sched-agent, a multi-agent system that autonomously analyzes workloads,
synthesizes custom eBPF scheduling policies, and deploys them via the sched_ext
infrastructure. Our evaluation shows that SchedCP achieves up to 1.79x perfor-
mance improvement and 13x cost reduction compared to naive agentic approaches,
all while maintaining high success rate. The code will be open-sourced.",32
33,"Advait Gadhikar, Riccardo Grazzi, James Hensman",OptRot: Mitigating Weight Outliers via Data-Free Rotations for Post-Training Quantization,"We introduce OptRot, a data-free preprocessing method to learn fusible rotations for post-training quantization of language models. OptRot reduces weight outliers by finding rotations which minimize the element-wise fourth power of the rotated weights. We show how reducing weight outliers can provably improve weight quantization performance and how OptRot rotations can outperform both Hadamard rotations and rotations learned by the data-dependent method SpinQuant.",33
35,"Tomohiro Yamashita, Daichi Amagata, Yusuke Matsui",How Should We Evaluate Data Deletion in Graph-Based ANN Indexes?,"Approximate Nearest Neighbor Search (ANNS) has recently gained significant attention due to its many applications, such as Retrieval-Augmented Generation.
Such applications require ANNS algorithms that support dynamic data, so the ANNS problem on dynamic data has attracted considerable interest.
However, a comprehensive evaluation methodology for data deletion in ANNS has yet to be established.
This study proposes an experimental framework and comprehensive evaluation metrics to assess the efficiency of data deletion for ANNS indexes under practical use cases.
Specifically, we categorize data deletion methods in graph-based ANNS into three approaches and formalize them mathematically. 
The performance is assessed in terms of accuracy, query speed, and other relevant metrics.
Finally, we apply the proposed evaluation framework to Hierarchical Navigable Small World, one of the state-of-the-art ANNS methods, to analyze the effects of data deletion, and propose Deletion Control, a method which dynamically selects the appropriate deletion method under a required search accuracy.",35
36,"Ferran Agullo, Joan Oliveras Torra, Chen Wang, Alberto Gutierrez-Torre, Olivier Tardieu, Alaa Youssef, Jordi Torres, Josep Lluis Berral",A Data-driven ML Approach for Maximizing Performance in LLM-Adapter Serving,"With the rapid adoption of Large Language Models (LLMs), LLM-adapters have become increasingly common, providing lightweight specialization of large-scale models. Serving hundreds or thousands of these adapters on a single GPU allows request aggregation, increasing throughput, but may also cause request starvation if GPU memory limits are exceeded. To address this issue, this study focuses on determining the joint configuration of concurrent and parallel adapters that maximizes GPU throughput without inducing starvation, given heterogeneous adapter and traffic properties. We propose a data-driven ML approach leveraging interpretable models to tackle this caching problem and introduce the first Digital Twin capable of reproducing an LLM-adapter serving system, enabling efficient training data generation. Experiments with the vLLM framework and LoRA adapters show that the Digital Twin reproduces throughput within 5.1% of real results, while the ML approach predicts optimal numbers of concurrent and parallel adapters with an error of at most 7.2% under heterogeneous, real-world workloads.",36
39,"Chen Wang, Xunzhuo Liu, Yuhan Liu, Yue Zhu, Xiangxi Mo, Junchen Jiang, Huamin Chen",When to Reason: Semantic Router for vLLM,"Large Language Models (LLMs) demonstrate substantial accuracy gains when augmented with reasoning modes such as chain-of-thought and inference-time scaling. However, reasoning also incurs significant costs in inference latency and token usage, with environmental and financial impacts, which are unnecessary for many simple prompts. We present a semantic router that classifies queries based on their reasoning requirements and selectively applies reasoning only when beneficial. Our approach achieves a 10.2 percentage point improvement in accuracy on the MMLU-Pro benchmark while reducing response latency by 47.1% and token consumption by 48.5% compared to direct inference with vLLM. These results demonstrate that semantic routing offers an effective mechanism for striking a balance between accuracy and efficiency in open-source LLM serving systems.",39
40,"Rubens Lacouture, Genghan Zhang, Konstantin Hossfeld, Tian Zhao, Kunle Olukotun",LLM-Guided Autoscheduling for Large-Scale Sparse Machine Learning,"Optimizing sparse machine learning (ML) workloads requires navigating a vast schedule space. Two of the most critical aspects of that design space include which operators to fuse and which loop/dataflow order to use within each fused region.
We present AutoSparse, an LLM-guided autoscheduler atop FuseFlow, a sparse ML compiler that focuses on fusion grouping and legal dataflow order selection. FuseFlow enumerates lawful orders per fused region and exposes a lightweight FLOPs/byte signal; the LLM proposes structured candidates (fusion sets and orders) that we validate and rank before codegen. With backend defaults for blocking and parallelism held fixed, case studies on GCN, GraphSAGE show consistent gains over unfused baselines and parity with hand-tuned/heuristic schedules. Coupling LLM reasoning with FuseFlow's legality guards and roofline-style signals efficiently explores sparse scheduling spaces with minimal human effort.",40
42,"Davide Basso, Luca Bortolussi, Mirjana Videnovic-Misic, Husni Habal",Advancing Routing-Awareness in Analog ICs Floorplanning,"The adoption of machine learning-based techniques for analog integrated circuit layout, unlike its digital counterpart, has been limited by the stringent requirements imposed by electric and problem-specific constraints, along with the interdependence of floorplanning and routing steps.
In this work, we address a prevalent concern among layout engineers regarding the need for readily available routing-aware floorplanning solutions. To this extent, we develop an automatic floorplanning engine based on reinforcement learning and relational graph convolutional neural network specifically tailored to condition the floorplan generation towards more routable outcomes.
A combination of increased grid resolution and precise pin information integration, along with a dynamic routing resource estimation technique, allows balancing routing and area efficiency, eventually meeting industrial standards.
When analyzing the place and route effectiveness in a simulated environment, the proposed approach achieves a 13.8% reduction in dead space, a 40.6% reduction in wirelength and a 73.4% increase in routing success when compared to past learning-based state-of-the-art techniques.",42
43,"Shengnan Cai, Shuxin Nie, Zhehui Chen, Nupur Gulalkari, George Vanica, Chetna Jain, Sethuraman Sankaran",Forecasting machine degradation of GPU Clusters,"Large-scale training jobs, especially those utilizing GPU clusters, are vulnerable to various failure modes, including individual hardware faults, network issues, and software-level problems. These failures can lead to significant downtime, wasted computational resources, and delays in research or production workflows. We propose a ML based forecasting algorithm designed for predicting health status of GPU clusters. Through extensive ablation studies, we found that cascading 1D CNNs achieved the best performance. The model leverages time-series data representing various cluster metrics, such as temperature, power consumption, and resource utilization towards predicting cluster failures, enabling proactive maintenance and resource optimization. By tuning differently per use-case, the model is able to achieve overall PRAUC of 0.90, and precision and recall of 0.99 and 0.90 respectively. This work is motivated by the need to improve the reliability and efficiency of large-scale training jobs that are susceptible to hardware and software failures.",43
46,"Jaber Daneshamooz, Eugene Vuong, Laasya Koduru, Sanjay Chandrasekaran, Arpit Gupta",NetGent : Agent-Based Automation of Network Application Workflows,"We present NetGent, an AI-agent framework for automating complex application workflows to generate realistic network traffic datasets. Developing generalizable ML models for networking requires data collection from network environments with traffic that results from a diverse set of real-world web applications. However, using existing browser automation tools that are diverse, repeatable, realistic, and efficient remains fragile and costly. NetGent addresses this challenge by allowing users to specify workflows as natural-language rules that define state-dependent actions. These abstract specifications are compiled into nondeterministic finite automata (NFAs), which a state synthesis component translates into reusable, executable code. This design enables deterministic replay, reduces redundant LLM calls through state caching, and adapts quickly when application interfaces change. In experiments, NetGent automated more than 50+ workflows spanning video-on-demand streaming, live video streaming, video conferencing, social media, and web scraping, producing realistic traffic traces while remaining robust to UI variability. By combining the flexibility of language-based agents with the reliability of compiled execution, NetGent provides a scalable foundation for generating the diverse, repeatable datasets needed to advance ML in networking.",46
47,"Lingzhi Wang, Vinod Yegneswaran, Xinyi Shi, Ziyu Li, Ashish Gehani, Yan Chen","GraphFaaS: Serverless GNN Inference for Burst-Resilient, Real-Time Intrusion Detection","Provenance-based intrusion detection is an increasingly popular application of graphical machine learning in cybersecurity. where system activities are modeled as provenance graphs to capture causality and correlations among potentially malicious actions. Graph Neural Networks (GNNs) have demonstrated strong performance in this setting. However, traditional statically-provisioned GNN5
inference architectures fall short in meeting two crucial demands of intrusion detection: (1) maintaining consistently low detection latency, and (2) handling highly irregular and bursty workloads. To holistically address these challenges, we present GraphFaaS, a serverless architecture tailored for GNN-based intrusion detection. GraphFaaS leverages the elasticity and agility of serverless computing to dynamically scale the GNN inference pipeline. We parallelize and adapt GNN workflows to a serverless environment, ensuring that the system can respond in real time to fluctuating workloads. By decoupling compute resources from static provisioning, GraphFaaS delivers stable inference latency, which is critical for dependable intrusion detection and timely incident response in cybersecurity operations. Preliminary evaluation shows GraphFaaS reduces average detection latency by 85% and coefficient of variation (CV) by 64% compared to the baseline.",47
48,"Yutong Huang, Zhiyuan Guo, Yiying Zhang",An Early Exploration of Deep-Learning-Driven Prefetching for Far Memory,"Far-memory systems, where applications store less-active data in more energy-efficient memory media, are increasingly adopted by datacenters.
However, applications are bottlenecked by on-demand data fetching from far- to local-memory.
We present $\textbf{\textit{Memix}}$,
a far-memory system that embodies a deep learning–system co-design for efficient and accurate prefetching, minimizing on-demand far-memory accesses.
One key observation is that memory accesses are shaped by both application semantics and runtime context, providing an opportunity to optimize each independently.
Preliminary evaluation of Memix on data-intensive workloads shows that it outperforms the state-of-the-art far-memory system by up to 42%.",48
49,"Fangzhou Wu, Sandeep Silwal",PORT: Efficient Training-Free Online Routing for High-Volume Multi-LLM Serving,"Increasing demand for Large Language Models (LLMs) querying services imposes substantial deployment and computation costs. 
LLM routing offers a cost-efficient solution by directing queries to the optimal LLM based on model and query features.
However, existing works focus on offline scenarios and struggle to adapt to online settings with high query volume and constrained token budgets.
In this work, we introduce PORT, the first training-free algorithm designed for online routing scenarios.
Our algorithm leverages approximate nearest neighbor search to efficiently estimate query features and performs a one-time optimization over a small set of initial queries to learn a routing strategy that guides future routing.
We provide theoretical guarantees demonstrating that our algorithm achieves a competitive ratio of $1 - o(1)$ under natural assumptions, which is further validated by extensive experiments across 3 benchmark datasets and 8 baselines, showing an average improvement of **3.55$\times$** in overall performance, **1.85$\times$** in cost efficiency, and nearly **4.25$\times$** in throughput.
Our code is available at https://github.com/fzwark/PORT.",49
50,"Sujay Pandit, Akanksha Jain, Rami Cohen, Zhijie Deng, Sagar Karandikar, Sagi Perel, Anand Raghunathan, Parthasarathy Ranganathan",LLM-Box : An Agentic Framework for Guided Black-Box Optimization in Mapping LLMs onto Specialized Hardware Accelerators,"Identifying efficient execution strategies for Large Language Models (LLMs) on specialized hardware accelerators requires exploring a vast design space where exhaustive search is computationally prohibitive. Traditional black-box optimization (BBO) methods offer a principled alternative, but their efficiency degrades in high-dimensional, sparse spaces with many infeasible points. We propose LLM-Box, a framework that integrates an LLM agent to guide multi-objective BBO toward the Pareto frontier while significantly reducing sampling of infeasible points. By leveraging the LLM agent to retrieve and structure prior exploration data through retrieval-augmented generation (RAG), and by warm-starting and filtering BBO suggestions, our approach guides the search towards feasible and promising regions of the design space. As a result, LLM-Box identifies Pareto-optimal configurations with a hypervolume difference of less than 3\% using $40{-}150\times$ fewer simulations than an exhaustive search, and compared to a well-known BBO tool, achieves 2\% better accuracy with $20\times$ fewer trials. Moreover, the framework demonstrates zero-shot generalization, transferring knowledge from prior models and hardware to unseen targets.",50
51,"Chung-Mou Pan, Salma Elmalaki, Yasser Shoukry, Sitao Huang",NeuSym-HLS: Learning-Driven Symbolic Distillation in High-Level Synthesis of Hardware Accelerators,"Domain-specific hardware accelerators for deep neural network (DNN) inference have been widely adopted. Traditional DNN compression techniques such as pruning and quantization help but can fall short when aggressive hardware efficiency is required. We present \textit{NeuSym-HLS}, a partial symbolic distillation and high-level hardware synthesis flow to compress and accelerate DNN inference for edge computing. NeuSym-HLS replaces a portion of the layers of a trained DNN model with compact analytic expressions obtained via symbolic regression, and generates efficient hardware accelerators. The resulting hardware accelerator of the hybrid DNN-symbolic model provides well balanced performance in algorithmic accuracy, hardware resource, and inference latency. Our evaluation on vision tasks showed that NeuSym-HLS reduces hardware resource usage, reduces latency, while maintaining model inference accuracy.",51
